Category,Subcategory,Details
AHU Information
,Total AHUs,8
,Constant Volume AHUs,1
,Variable Air Volume AHUs,7
,AHUs with Cooling Coil,8
,AHUs with Heating Coil,7
,AHUs with DX Staged Cooling,0
,AHUs with Return Fans,0
,AHUs with Supply Fans,0
,AHUs with Return Air Temp Sensors,8
,AHUs with Mixing Air Temp Sensors,8
,AHUs with Leaving Air Temp Sensors,16
,AHUs with Leaving Air Temp Setpoint,8
,AHUs with Duct Pressure Setpoint,0
,AHUs with Duct Pressure,7

Zone Information
,Zone Air Temperature Setpoints,Zone Air Temperature Setpoints Found.
,Total VAV Boxes,219
Number of VAV Boxes per AHU,AHU,VAV Count
,AHU: AHU01,46
,AHU: AHU02,23
,AHU: AHU03,33
,AHU: AHU04,17
,AHU: AHU06,22
,AHU: AHU07,41
,AHU: AHU08,37
,VAV Boxes with Reheat Valve Command,0
,VAV Boxes with Air Flow Sensors,0
,VAV Boxes with Supply Air Temp Sensors,0
,VAV Boxes with Air Flow Setpoints,0
,Cooling Only VAV Boxes,219

Building Information
,Building Area,126641 sq ft
,Number of Floors,2

Meter Information
,BTU Meter Present,False
,Electrical Meter Present,False
,Water Meter Present,False
,Gas Meter Present,False
,PV Meter Present,False

Central Plant Information
,Total Chillers,1
,Total Boilers,0
,Total Cooling Towers,0
,Chillers with Water Flow,0
,Boilers with Water Flow,0
,Cooling Towers with Fan,0
,Cooling Towers with Temp Sensors,0

